127.0.0.1 - - [29/Jan/2025:13:33:07 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:08 +0530] "GET /TrainGO/Login.jsp HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:08 +0530] "GET /TrainGO/CSS/login.css HTTP/1.1" 200 5427
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:08 +0530] "GET /TrainGO/CSS/088.jpeg HTTP/1.1" 200 449292
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:08 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/AdminDashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/Homepage.jsp HTTP/1.1" 200 17469
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/photo/1.jpeg HTTP/1.1" 200 147809
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/photo/back6%20(1).jpeg HTTP/1.1" 200 236369
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/photo/4.jpeg HTTP/1.1" 200 50419
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/photo/5.jpeg HTTP/1.1" 200 210250
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/photo/3.jpeg HTTP/1.1" 200 64128
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/CSS/Homepage.css HTTP/1.1" 200 8777
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/photo/6.jpeg HTTP/1.1" 200 69570
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:33:45 +0530] "GET /TrainGO/photo/7.jpeg HTTP/1.1" 200 98007
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:34:00 +0530] "GET /TrainGO/Login.jsp HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:35:30 +0530] "GET /TrainGO/login?Username=admin1&password=321 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:35:30 +0530] "GET /TrainGO/AdminDashboard.jsp HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:35:30 +0530] "GET /TrainGO/CSS/AdminDashboard.css HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:36:26 +0530] "GET /TrainGO/AdminDashBoard HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:36:26 +0530] "GET /TrainGO/CSS/PassengerDeleteDashboard.css HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:36:29 +0530] "GET /TrainGO/AdminDashboard.jsp HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:36:34 +0530] "GET /TrainGO/AdminDashBoard HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:36:47 +0530] "GET /TrainGO/AdminDashboard.jsp HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:36:51 +0530] "GET /TrainGO/Login.jsp HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:36:54 +0530] "GET /TrainGO/Homepage.jsp HTTP/1.1" 200 17469
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:37:02 +0530] "GET /TrainGO/PassengerRegister.jsp HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:37:02 +0530] "GET /TrainGO/02.jpeg HTTP/1.1" 200 463647
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:37:02 +0530] "GET /TrainGO/eye-close.png HTTP/1.1" 200 2356
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:37:02 +0530] "GET /TrainGO/togglePassword.js HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:37:02 +0530] "GET /TrainGO/CSS/PassengerRegister.css HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:37:02 +0530] "GET /TrainGO/CSS/03.jpg HTTP/1.1" 200 136107
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:37:05 +0530] "GET /TrainGO/Login.jsp HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [29/Jan/2025:13:37:08 +0530] "GET /TrainGO/PassengerRegister.jsp HTTP/1.1" 200 3103
